Distance,LG,LL,LLG,LLL,None,Bus,Ia,Ib,Ic,Va,Vb,Vc
45,1,0,0,0,0,2,238.46,68.738,64.679,6687.1,7608.8,7788.9
60,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
10,1,0,0,0,0,3,171.68,689.95,716.3,1589.5,6001.8,6400.9
55,0,0,0,1,0,2,213.1,213.1,213.1,6324.3,6324.2,6324.3
30,1,0,0,0,0,2,196.83,67.031,65.071,6330.7,7675.9,7795.3
80,0,1,0,0,0,3,701.03,648.86,317.43,6149.4,6048.3,3415.6
90,1,0,0,0,0,2,84.899,67.369,69.471,7536,7706.8,7691.9
15,0,1,0,0,0,1,723.37,739.66,907,36364,36599,35531
90,0,0,0,1,0,2,175.51,175.51,175.51,7193.3,7193.3,7193.3
10,1,0,0,0,0,3,179.3,689.56,716.46,1566.1,5995.7,6404.2
90,0,1,0,0,0,1,723.37,739.02,739.13,36365,36289,36276
