Distance,LG,LL,LLG,LLL,Ia,Ib,Ic,Va,Vb,Vc
75,0,1,0,0,723.43,767.17,790.93,36365,36182,36005
85,1,0,0,0,767.59,724.74,726.44,36136,36355,36350
30,0,0,0,1,1732.7,1732.7,1732.7,31593,31595,31590
55,0,0,1,0,725.62,784.29,790.15,36352,36100,36069
65,0,0,1,0,727.33,1137.5,1098.2,36337,34141,34401
15,0,0,0,1,2332.6,2332.6,2332.6,29820,29819,29820
60,1,0,0,0,1041.8,719.8,734.09,34692,36380,36309
75,0,0,1,0,730.88,925.87,941.58,36322,35319,35187
25,0,0,1,0,717.47,1718,1929,36390,32055,30416
45,0,0,0,1,1575.4,1575.4,1575.4,31833,31834,31828
15,0,1,0,0,723.37,765.48,972.05,36364,36640,35235
10,0,0,0,1,869.87,869.87,869.87,35977,35977,35977
35,1,0,0,0,1536.3,712.47,731.51,32085,36426,36311
50,0,0,1,0,725.97,816.23,828.49,36351,35972,35909
85,0,0,1,0,732.04,858.31,857.54,36315,35647,35632
30,0,0,0,1,968.87,968.87,968.87,35479,35479,35478
25,0,0,1,0,714.83,2016.4,2171.4,36404,30154,28727
80,0,0,1,0,731.11,930.09,922.36,36318,35257,35284
45,0,0,1,0,722.75,1505.5,1474.2,36363,32222,32459
20,0,0,1,0,714.13,1893.2,2142.5,36406,31519,29607
65,0,0,1,0,727.24,1140,1096.9,36337,34127,34413
80,0,1,0,0,723.34,801.43,811.84,36366,36006,35879
40,0,1,0,0,723.42,958.12,1117.6,36365,35794,34330
40,1,0,0,0,922.41,722.33,727.18,35531,36372,36343
25,1,0,0,0,1991.4,707.89,725.45,29624,36450,36344
10,0,0,1,0,687.72,3819.1,3866.1,36547,20310,19916
10,1,0,0,0,874.87,719.41,726.97,35952,36386,36342
40,0,1,0,0,723.42,762.42,869.74,36365,36350,35650
20,0,0,1,0,723.52,900.58,914.39,36361,35798,35758
40,0,1,0,0,723.42,1449.7,1461,36365,33239,32530
40,1,0,0,0,1446.6,712.27,731.72,32511,36428,36311
65,0,1,0,0,723.34,745.19,776.91,36365,36289,36093
60,0,0,1,0,728.67,1062.5,1111.8,36332,34661,34307
20,0,1,0,0,723.36,1100.8,1386.7,36365,36157,33112
80,0,0,0,1,765.13,765.12,765.13,36156,36156,36155
70,0,0,1,0,730.12,966.02,991.62,36325,35120,34930
50,0,0,1,0,724.12,1394.9,1355.5,36356,32799,33078
10,0,0,0,1,1544.3,1544.3,1544.3,34099,34099,34099
80,0,0,0,1,974.42,974.4,974.41,35015,35016,35011
55,0,1,0,0,723.38,758.27,820.83,36364,36281,35870
55,0,0,1,0,726.76,1214.4,1244.8,36341,33832,33575
10,0,0,1,0,687.46,3848.6,3869.5,36549,20047,20014
70,0,1,0,0,723.33,771.76,807.01,36367,36183,35918
65,0,0,0,1,825.31,825.3,825.31,35885,35887,35883
35,0,0,1,0,718.8,1815.4,1784,36385,30607,30873
35,1,0,0,0,1586.8,711.16,729.92,31771,36435,36318
60,1,0,0,0,779.19,724.29,724.91,36112,36359,36359
70,0,0,0,1,810.48,810.46,810.47,35945,35944,35946
10,0,0,0,1,935.92,935.92,935.92,35815,35815,35815
50,0,0,0,1,1449.7,1449.7,1449.7,32502,32500,32501
20,0,0,0,1,904.17,904.17,904.17,35802,35802,35803
15,0,0,1,0,723.28,860.18,863.8,36362,35953,35958
75,0,0,1,0,726.62,769.74,773.31,36348,36144,36114
40,0,0,0,1,1627.7,1627.7,1627.7,31644,31644,31641
65,0,1,0,0,723.34,978.55,990.68,36365,35209,34925
55,0,0,0,1,787.55,787.54,787.55,36085,36085,36084
10,0,0,0,1,4098.2,4098.2,4098.2,18467,18466,18466
20,0,1,0,0,723.36,741.59,890.91,36365,36544,35588
10,0,1,0,0,723.37,765.01,995.14,36364,36734,35155
30,0,1,0,0,723.38,764.44,907.71,36365,36436,35485
85,0,0,1,0,730.03,803.33,806.72,36328,35950,35920
80,0,1,0,0,723.34,876.13,856.88,36366,35617,35628
65,0,1,0,0,723.34,754.94,793.66,36365,36254,36005
50,0,0,0,1,1448.1,1448.1,1448.1,32507,32505,32506
90,1,0,0,0,814.06,722.23,734.96,35867,36363,36307
55,1,0,0,0,856.59,724.04,726.77,35755,36358,36348
90,0,0,1,0,732.23,882.28,839.72,36309,35493,35734
40,0,1,0,0,723.42,804.83,940.59,36365,36258,35287
45,1,0,0,0,1053.8,721.21,729.84,34813,36369,36334
45,0,0,0,1,1577.4,1577.4,1577.4,31826,31827,31822
40,1,0,0,0,813.61,723.14,725.33,36004,36367,36355
35,0,0,1,0,725.2,926.02,963.66,36354,35589,35406
30,0,0,1,0,720.13,1573.9,1750.2,36376,32550,31183
70,1,0,0,0,974.77,718.22,736.8,35011,36376,36300
75,0,0,0,1,1031.2,1031.3,1031.3,34715,34711,34719
20,0,1,0,0,723.36,1742.7,1955.9,36365,33968,29847
90,0,1,0,0,723.37,779.29,769.6,36365,36086,36101
65,1,0,0,0,821.07,724.67,726.61,35898,36354,36353
75,0,0,0,1,773.11,773.13,773.12,36122,36121,36122
60,1,0,0,0,1078.5,717.29,735.67,34466,36393,36300
30,1,0,0,0,833.34,722.17,725.68,35962,36370,36354
70,0,1,0,0,723.33,1066.9,958.17,36367,34584,35189
85,0,1,0,0,723.38,789.88,789.38,36365,36045,35998
20,0,0,0,1,2097.8,2097.8,2097.8,30370,30368,30371
20,0,0,1,0,707.36,2626.9,2630.3,36444,26420,26454
90,0,0,0,1,744.23,744.24,744.23,36255,36255,36255
40,0,0,0,1,1729.6,1729.6,1729.6,31020,31020,31017
25,0,1,0,0,723.39,825.31,1032.6,36365,36447,34889
35,1,0,0,0,1585.9,711.2,730.04,31774,36434,36317
20,0,0,1,0,723.03,1008.1,1045.8,36363,35445,35310
45,0,0,0,1,1076,1076,1076,34796,34797,34795
15,1,0,0,0,1461,710.93,732.03,33792,36427,36315
35,0,1,0,0,723.42,811.43,969.39,36365,36308,35155
80,0,0,1,0,729.75,967.5,925.61,36324,35041,35290
25,0,0,1,0,712.44,2279,2270.4,36417,28213,28333
10,0,0,1,0,721.6,1075.8,1098.2,36368,35422,35390
60,0,0,0,1,800.7,800.7,800.7,36016,36016,36014
80,0,0,0,1,909.32,909.3,909.31,35373,35374,35370
65,1,0,0,0,771.8,724.42,724.85,36140,36357,36362
25,0,0,1,0,724.03,883.95,899.6,36359,35816,35762
65,0,0,0,1,1166.1,1166.1,1166.1,34004,34007,33994
90,0,1,0,0,723.37,858.73,797.23,36365,35651,35948
45,1,0,0,0,835.79,723.41,725.8,35892,36361,36355
75,1,0,0,0,932.01,718.58,737.33,35238,36387,36288
40,0,0,0,1,811.74,811.74,811.74,36020,36020,36018
10,0,0,0,1,4079.1,4079.1,4079.1,18574,18574,18574
35,0,0,0,1,943.91,943.91,943.91,35525,35525,35524
40,1,0,0,0,849.63,722.91,725.97,35853,36368,36351
35,0,1,0,0,723.42,989.04,1176.1,36365,35827,34045
85,0,1,0,0,723.38,930.56,822.24,36365,35256,35851
75,0,0,0,1,1000.2,1000.2,1000.2,34877,34873,34880
45,0,0,0,1,1362.7,1362.7,1362.7,33165,33166,33162
75,0,0,1,0,728.98,1017.6,976.33,36329,34785,35022
65,0,0,1,0,728.69,1078.8,1090.9,36331,34499,34395
30,0,0,1,0,724.52,950.95,990.57,36356,35530,35358
30,0,0,0,1,874.33,874.33,874.33,35829,35829,35829
90,0,1,0,0,723.37,896.33,784.93,36365,35429,36037
80,0,0,1,0,727.72,779.67,783.7,36341,36082,36058
15,0,0,1,0,709.93,2111.4,2397.7,36426,30951,28856
85,1,0,0,0,867.69,714.57,741.65,35574,36403,36268
85,0,1,0,0,723.38,746.65,751.76,36365,36256,36210
45,0,1,0,0,723.35,930.2,1064.4,36366,35792,34588
60,0,1,0,0,723.38,756.66,806.72,36365,36263,35942
50,1,0,0,0,1240.1,713.73,734.34,33604,36412,36303
55,0,0,0,1,1283.1,1283.1,1283.1,33403,33404,33399
90,0,0,0,1,878.33,878.34,878.34,35523,35522,35522
30,1,0,0,0,1694.9,710.58,730.37,31276,36433,36321
15,0,0,0,1,3337.6,3337.6,3337.6,22498,22498,22499
80,1,0,0,0,761.73,724.66,725.35,36172,36354,36358
35,0,1,0,0,723.42,1575.7,1602.1,36365,32835,31793
20,0,0,1,0,723.65,848.75,854.52,36361,35962,35949
85,0,0,0,1,870.48,870.49,870.48,35572,35571,35571
20,0,0,0,1,1022.9,1022.9,1022.9,35425,35424,35426
80,0,1,0,0,723.34,970.78,862.19,36366,35055,35654
15,0,0,1,0,704.4,2616.3,2872.9,36456,27815,25353
30,0,0,0,1,1978.6,1978.6,1978.6,29917,29918,29913
60,0,0,1,0,726.4,795.48,804.14,36348,36038,35996
50,0,0,0,1,822.42,822.42,822.42,35945,35945,35945
35,1,0,0,0,947.73,721.53,727.38,35461,36375,36341
25,1,0,0,0,1003,719.53,727.99,35351,36382,36340
85,0,1,0,0,723.38,758.27,763.35,36365,36200,36145
35,1,0,0,0,823.3,722.69,725.49,35981,36369,36352
55,0,0,0,1,811.21,811.21,811.21,35980,35980,35979
70,0,0,0,1,1002.2,1002.1,1002.2,34902,34901,34903
85,0,1,0,0,723.38,889.27,831.72,36365,35505,35769
90,1,0,0,0,829.22,719.45,738.77,35779,36376,36286
20,1,0,0,0,911.21,720.06,727.03,35751,36379,36345
55,0,1,0,0,723.38,882.57,972.54,36364,35824,35049
85,0,0,0,1,772.89,772.89,772.89,36109,36109,36109
55,0,0,1,0,728.23,949.6,1003.9,36336,35323,34994
10,0,1,0,0,723.37,2869.2,3052.8,36364,31193,24017
15,0,1,0,0,723.37,2960.5,2864.6,36364,26297,26998
90,0,0,1,0,733.09,856.07,838.2,36307,35640,35729
70,0,0,0,1,766.95,766.94,766.94,36158,36157,36159
65,1,0,0,0,788.64,724.58,725.43,36058,36355,36359
15,0,0,0,1,2892.5,2892.5,2892.5,25960,25959,25960
25,0,1,0,0,723.39,765.12,928.24,36365,36495,35399
35,0,0,0,1,820.6,820.6,820.6,36002,36002,36000
30,0,1,0,0,723.38,1943.8,1836.1,36365,30492,31274
30,0,0,1,0,716.12,2015.4,1998.4,36398,29575,29747
55,1,0,0,0,1142.2,716.68,734.99,34131,36394,36303
35,0,1,0,0,723.42,1364.7,1480.9,36365,34178,32326
80,0,0,1,0,731.43,890.15,897.06,36318,35486,35426
65,0,1,0,0,723.34,1127.8,1014.5,36365,34268,34941
25,0,1,0,0,723.39,743.12,875.43,36365,36492,35650
35,0,0,1,0,718.9,1808.7,1785.6,36384,30653,30844
75,0,0,0,1,952.95,952.98,952.96,35150,35147,35153
80,0,0,0,1,948.48,948.46,948.47,35149,35150,35145
80,1,0,0,0,873.3,721.77,734.88,35559,36362,36310
60,0,0,0,1,841.46,841.46,841.46,35824,35825,35821
85,0,1,0,0,723.38,932.56,820.57,36365,35244,35863
40,0,0,1,0,725.81,903.28,937.77,36350,35644,35474
40,0,1,0,0,723.42,1274.8,1367.5,36365,34347,32929
15,1,0,0,0,1062.9,716.91,729.07,35322,36396,36333
15,0,0,0,1,3325.9,3325.9,3325.9,22555,22554,22555
60,0,0,1,0,725.77,777.2,782.15,36352,36122,36099
15,0,0,0,1,859.5,859.5,859.5,35970,35969,35971
30,0,1,0,0,723.38,1935.9,1837.3,36365,30580,31210
65,0,1,0,0,723.34,1056.4,1020,36365,34748,34799
15,0,0,1,0,699.71,3127.6,3129,36484,23781,23911
30,0,0,1,0,718.1,1811.6,1932.2,36387,31039,29958
75,0,0,0,1,796.82,796.84,796.83,36002,36001,36003
50,0,1,0,0,723.39,746.19,808.31,36365,36333,35942
65,1,0,0,0,1023.3,717.8,736.27,34756,36386,36301
